question,answer
"Mau perpanjang endorst ATT 4 MANAJEMEN, upload file COC & COE, kok nggak bisa 2 cuman 1 aja, itu kenapa y",bisa menggunakan gabung pdf di google ya pak
untuk surat keterangan updating bagaimana saya bisa mendapatkan setelah dinyatakan lulus?,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
untuk pembaharuan bst msc apakah bisa keluaran bst kampus lain daftar di bp2tl.?,"bisa pak, dengan melampirkan bst asli ke loket pendaftaran saat daftar atau pengambilan sertifikat bst yang sudah jadi"
 buk. Ijin tanya kalau ambil sertifikat BOCT untuk Pasis Wajib duduk Juga kah buk?,"Diklat BOCT tetap ada prakteknya ya pak, "
Bagaimana cara pengiriman ijazah ke rumah tanpa harus datang mengambilnya,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
Surat keterangan updating,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
", mohon ijin saya memohon untuk surat keterangan diklat updating ant4 manajemen periode 4 Agustus 2025. Terima Kasih","Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
 bapak/ibu untuk harini apakah diklat sudah dimulai apa belum ya? apakah ada grup whatsapp untuk informasi tentang pembelajaran?,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
Min mau tanya kalo untuk print out untuk pendaftaran updating itu link nya yang apa ?,bisa di cek melalui link ini ya pak https://pelaut.dephub.go.id/verifikasi
"Izin minta surat keterangan telah updating 3 Management, Terimakasih","Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
Pengajuan permintaan surat keterangan updating,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
Surat keterangan,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
saya ingin bertanya untuk diklat BOCT apakah bagi cadet syarat sertifikat ANT atau ijazah laut bisa diganti dengan surat keterangan prala dari kampus?,minimal melampikan ijazah laut ya kak
"Izin bertanya apakah jika pengambilan sertifikat bst diwakilkan harus membawa fisik bst asli, apakah bisa jika hanya membawa foto bstnya saja atau di scan","tidak bisa, pak harus membawa fisik asli"
" Ijin mau tanya buk, saya mau perpanjang sertifikat Able deck yang sudah expired, terbitan 2018 dari BP2TL. Disertifikat tertulis masa berlaku 5 tahun Masih bisa diperpanjang gak buk? Saya cari di pendaftaran online tidak ada prepanjang, yang ada pilihan cuman UPDATING dari ANT D ke Able Deck. Mohon informasi nya",untuk perpanjang bisa pilih diklat baru pak able dengan harga yang sama tetapi tidak perlu mengikuti pembelajaran kembali
 Pak apakah diklat pengambilan sertifikat MC online?, iya betul online
"permisi min kalau sertifikat hilang diurus terbitkan ulang itu persyaratan apa saja, biaya nya berapa dan prosesnya berapa lama Terimakasih????????","Pegajuan sertifikat baru atas sertifikat yang hilang dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

1. KTP
2. Akta Kelahiran
3. Surat Kehilangan dari Kepolisian
4. Kartu Keluarga (KK)
5. Pas Foto terbaru
6. Scan sertifikat yang hilang
7. Surat keterangan bahwa Bapak akan melakukan cetak ulang sertifikat
8. Surat Pernyataan Peserta (diunduh melalui akun masing-masing)
"
" utk fisik BST saya masih di badan diklat , info dari teman bisa aja pakai printout online BST, karena punya dia pakai printout juga di validasi aja kak. Terima kasih","Mohon maaf sebelumnya pak, untuk diklat dasar wajib melampirkan BST fisik asli yang sudah di ttd"
MOHON IJIN. DIKLAT ACT ONLINE ATAU OFFLINE YAA,"untuk diklat ACT dilaksanakan secara hybrid ya kak.

Teori: dilaksanakan secara online
Praktik & ujian: dilaksanakan tatap muka di kampus

Jadi tidak full online ya kak, tetap ada sesi ke kampus untuk praktik dan ujian 🙏"
Mohon di masukkan grup diklat able min saya sdh diklat tapi belum masuk grup,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"pagi pak, pak mau tanyaa sayaa mau pembaruan bst. nahh untuk bst yang di pilih nya yang mana ya pak?","updating bst pak pilih sesuai dengan terbitan bst BP2TL atau NON BP2TL, apabila bapak sedang on board pilih diklat online dengan melampirkan surat PKL."
"Saya ingin menanyakan perihal pembaharuan sertifikat BST. Saya memiliki BST yang diterbitkan pada bulan Agustus 2024. Saya sudah menjalani satu kontrak sebagai seafarer dan sekarang sedang menunggu jadwal keberangkatan berikutnya. Namun, dari pihak agensi meminta saya memperbaharui BST saya terlebih dahulu, apa boleh tolong dijelaskan alur dan persyaratannya, atau ada website dan kontak yang bisa saya hubungi terkait hal ini? Kebetulan saya membuat BST di BP2TL dan diminta untuk menyelesaikan ini sebelum Januari. Terimakasih atas responnya.",untuk BST dapat pilih diklat Updating BST BP2TL Online (melampirkan surat PKL). Apabila ada kendala dapat WA Ke No. Admin +62 811-1707-1205
Ganti scan BST lama ke BST terbaru di documen diklat," untuk mengganti berkas, silahkan bapak buka akun bapak - dashboard (garis 3 di pojok kiri atas) - menu dokumen saya - pilih dokumen yang akan dihapus/edit, Terima kasih"
Mau ganti MCU terbaru di documen diklat saya,"untuk mengganti berkas, silahkan bapak buka akun bapak - dashboard (garis 3 di pojok kiri atas) - menu dokumen saya - pilih dokumen yang akan dihapus/edit, Terima kasih"
", saya sudah melakukan pengisian dokumen2 di halaman pendaftaran untuk mengikuti diklat BST. Mohon informasikan tahap selanjutnya apa?",silahkan tunggu divalidasi dokumen-dokumennya kemudian pilih periode diklat dan tunggu va pembayaran BST masuk ke email bapak ya
", maaf izin bertanya ini sudah hari ketiga tapi saya belum dapat undangan grup updating","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
 Pak apakah diklat AOT dan SCRB full online?,"untuk diklat AOT dab SCRB dilaksanakan secara hybrid ya kak.

Teori: dilaksanakan secara online
Praktik & ujian: dilaksanakan tatap muka di kampus

Jadi tidak full online ya kak, tetap ada sesi ke kampus untuk praktik dan ujian 🙏"
Buk izin bertanya sertifikat yg sudah selesai lihat keluar nya terlampir kah di akun ini,"Untuk mengecek apakah sertifikat sudah online atau belum, silakan cek melalui website berikut: https://pelaut.dephub.go.id/verifikasi

Langkah pengecekan:

1. Masukkan Nomor Kode Pelaut
2. Masukkan Nomor Sertifikasi
3. Lakukan Validasi TTE
4. Isi Captcha yang tersedia
5. Kemudian klik verifikasi

Jika data sudah muncul, berarti sertifikatnya sudah terdata di sistem ya kak 🙏
"
apakah surat kesehatan bisa di buat di rumah sakit umum?,"bisa pak, yang penting ada keterangan tidak buta warna"
" bu,ijin dokemn saya belum di validasi dan ijin bertanya untuk pengambilan surat keterangan diklat caranya bagaimana bu krn lagi di butuhkan","Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
"zin bertanya untuk biaya pengambilan sertifikat aff dan pscrb dikenakan berapa ya, dan apakah diklat online","Untuk diklat aff dan scrb pembelajarannya dilaksanan secara online pak,AFF 740, SCRB 900 rb pak"
" admin, Mau legalisir ijazah STTPK dp3 ant 3 management, coc dan coe nya, pilihan di akun online apa ya? Mohon informasinya. Terima kasih","untuk legalisir dapat datang langsung ya pak, dengan membawa 2 lembar fotocopy hitam putih Ijazah dan SPPK ke loket pendaftaran"
" bu ,ijin bertanya cara pengembilan surat keterangan sementara diklatnya dimana bu????????",Untuk pengambilan surat keterangan sementara diklat dapat diambil di loket pendaftaran di BP2TL ya kak 🙏
"Ka saya mau update bst, kan saya sudah tidak pegang karna saya sudah off, bagaimana solusi nya?","bisa mendaftar dengan pembelajaran offline pak, untuk surat PKL di ganti dengan BST lama"
Di halaman pendaftaran kenapa belum bisa untuk bayar mind,untuk VA pembayaran akan otomatis masuk ke email apabila peserta sudah pilih jadwal/periode
apakah Diklat MC dan Sdsd dilaksanakan secara online,betul diklat MC dan SDSD sistem belajarnya full online saaja ya
Sy sudah daftar updating att 3 management tpi blum ada no tagihan ny,"Biasanya VA/tagihan pembayaran akan otomatis dikirim ke email setelah kakak memilih jadwal ya.

Silakan coba:

Cek email utama dan spam/junk
Refresh email dan halaman akun
Cek juga di akun pendaftaran, biasanya tagihan muncul di sana

Jika masih belum ada, silakan hubungi admin pendaftaran melalui WhatsApp di 0811-1707-1205 ya kak 🙏"
Ada layanan untuk pengiriman sertifikat keluar daerah kah bu,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
Nilai diklat,"Terkait hasil UKP Diklat informasi kelulusan,dan nilai akan disampaikan melalui grup pembelajaran ya pak.

Mohon ditunggu informasinya 🙏"
Saya sudah mengikuti ukp diklat pemuktahiran ATT III MANAGEMEN. Apakah saya sudah di nyatakan Lulus. Terima kasih.,"Terkait hasil UKP Diklat informasi kelulusan,dan nilai akan disampaikan melalui grup pembelajaran ya pak.

Mohon ditunggu informasinya 🙏"
ka jadwal diklat saya kan tgl 8 desember tp sampai skrng blm di invite grup ka,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"mohon maaf sertifikat AFF bapak sudah expired, harap di revalidasi terlebih dahulu (bisa di BP2TL dengan melampirkan sertifikat aslinya+biaya keabsahan cash 50ribu), lalu nanti upload menggunakan kartupeserta/invoice pembayaran, Terima kasih Cara untuk urus keabsahan bagaimana ya caranya ?","Untuk proses keabsahan sertifikat, bapak cukup membawa sertifikat asli ke kampus BP2TL ya pak.
Nanti akan dilakukan pengecekan untuk memastikan bahwa sertifikat tersebut asli, dan dikenakan biaya keabsahan sebesar Rp50.000 (cash).
Setelah itu, bisa digunakan untuk proses selanjutnya ya pak 🙏"
Mohon panduannya buat bikin surat keterangan mengikuti diklat pak Untuk updating endorsement pak,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
Mohon dibantu panduannya pak Buat surat keterangan updating endorsement att V pak,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
" admin, Tolong bantu validasi Untuk masa layarnya. Ditunggu. Terima kasih","Mohon maaf atas ketidaknyamanannya, Pak/Bu. Proses validasi berkas memerlukan waktu maksimal 3x24 jam pada hari dan jam kerja. 

Saat ini terdapat banyak antrean berkas yang sedang diproses sehingga waktu validasi menyesuaikan dengan urutan antrean yang masuk. Mohon Bapak/Ibu dapat melakukan pengecekan secara berkala pada akun dan email untuk melihat status berkas.

Mohon dipastikan kembali bahwa seluruh dokumen yang diunggah sudah sesuai dengan ketentuan. Jika terdapat penolakan, silakan cek koreksi dari admin pada akun di bagian keterangan penolakan serta pada email, kemudian lakukan pembaruan dan unggah ulang dokumen yang diminta.

Jika sudah melewati waktu tersebut, Bapak/Ibu dapat menghubungi helpdesk melalui akun atau menghubungi admin di 0811-1707-1205.

Terima kasih telah setia menunggu. 😊
"
untuk kode kampus bp2tl berapa ya? mau cek sertifikat saya sudah online atau belum,"Untuk kode kampus BP2TL adalah 53 ya kak.

Terima kasih 🙏"
Assalamualaikum pak mohon bantuannya saya sdh diklat tapi belum dimasukkan di dlm grup wa,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Saya minta tolong fotokan sertifikat SDSD milik saya, karena dalam waktu dekat ini saya belum bisa ambil sertifikat di tempat diklat","Mohon maaf, untuk sertifikat fisik tidak dapat difotokan ya pak, karena terdapat ketentuan harus ada foto dan stempel asli.

Sebagai alternatif, bapak dapat melakukan pengecekan secara online melalui website pelaut.dephub.go.id ya pak 🙏"
Untuk jadwal Diklat Fungsional ISPS Code tidak muncul,"Lengkapi semua berkasnya dulu pak, baru akan muncul jadwal diklat ISPS Code"
"Bagaimana cara Ganti Sertifikat yang sudah valid mind, dikarenakan saya pernah mendaftarkan teman saya pakai akun saya jadinya sertifikatnya ada yang keganti Mohon bantuannya ????????","Mohon maaf, untuk sertifikat yang sudah valid tidak bisa diganti ya kak.

Untuk ke depannya, mohon diperhatikan bahwa 1 akun hanya digunakan untuk 1 orang saat pendaftaran diklat agar tidak terjadi kesalahan data seperti ini 🙏"
Izin admin. Apa bisa menghapus pas foto saya yg ada di profil web ini? Soalnya saya mau mengganti ke yg terbaru. Terima kasih,"Untuk perubahan pas foto di profil, silakan kirim foto terbaru ke admin BP2TL melalui WhatsApp di 0811-1707-1205 ya kak.

Nanti akan dibantu proses penggantiannya 🙏"
izin bertanya untuk MCU apakah bisa dilakukan di klinik umum..atau khusus di tempat diklat?,"Terkait persyaratan surat keterangan dokter dan MCU, dokumen harus dikeluarkan oleh Rumah Sakit/Klinik yang ter-approve DJPL ya kak.

Berikut link daftar RS/Klinik yang dapat digunakan:
https://bkkp.dephub.go.id/index.php/pages/rsik

Selain itu, dokter pemeriksa juga harus dokter yang ter-approve DJPL. Daftar dokter yang diakui dapat dicek pada link berikut:
https://bkkp.dephub.go.id/index.php/pages/dokter

Mohon dipastikan juga surat yang diunggah masih berlaku (tidak expired) ya kak. Terima kasih 🙏
"
"Maaf pak admin, saya baru dapat sinyal nomor virtualnya sudah kadaluarsa mohon jika boleh di bantu kembali utk periode 15 septembernya????",Silahkan kembali ke akun Bapak untuk melakukan pemilihan jadwal kembali. terima kasih
Ijin saya mengikuti Diklat ECDIS periode 16 April 2025 tapi sampai saat ini belum masuk grup????????,"Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Mohon ijin pak,untuk pengambilan sertifikat bisa dikirimkan ke alamat rumah pak?","Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
Assalamualaikum. Selamat malam bapak/ibu.. Bisa minta tolong dibuatkan SURAT KETERANGAN untuk ANT V MANAGEMEN nya Pak/ibu..??,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
 3. Dan untuk AOT apakah masa layarnya juga bisa diganti dengan upload BST?,"Untuk AOT, tetap harus menggunakan masa layar di kapal tanker minyak, tidak dapat diganti dengan BST."
"2.untuk SSO dan BOCT, apakah sertifikat peningkatan bisa diganti upload dengan bukti bayar sedang mengikuti ETO?","Untuk SSO dan BOCT, sertifikat pendidikan dapat diganti dengan surat keterangan sedang mengikuti pendidikan ETO (bukan invoice pembayaran) ya kak."
"Dear admin, mohon advisenya untuk ini: 1. Untuk PSCRB, apakah masa layarnya bisa diganti dengan upload BST terbitan selama 6 bulan? ","Untuk PSCRB, masa layar tidak dapat diganti dengan sertifikat BST walaupun sudah 6 bulan ya kak."
Mhn infonya min..diklat towing mastwr apakah daring apa offlin..tks,"untuk diklat Towing Master dilaksanakan secara hybrid ya kak.

Teori: dilaksanakan secara online
Praktik & ujian: dilaksanakan tatap muka di kampus

Jadi tidak full online ya kak, tetap ada sesi ke kampus untuk praktik dan ujian 🙏"
". izin bertanya admin, kalau mau peningkatan ANT 3 dan GMDSS, ambilnya GMDSS pasis atau GOC GMDSS ya?",GOC GMDSS ya pak
pembentukan rating tanpa masa layar ada kah ?,"Mohon maaf, untuk pembentukan rating tanpa masa layar tidak tersedia ya pak.
Yang ada adalah rating forming, dan untuk mengikuti diklat tersebut harus memiliki masa layar minimal 6 bulan 🙏"
"ntuk Diklat gmdss apakah dilaksanakan online? Dan bila iya, bagaimana untuk pelaksanaan nya? Terimakasih","Untuk diklat GMDSS dilaksanakan secara hybrid ya kak.

Teori: dilaksanakan secara online
Praktik & ujian: dilaksanakan tatap muka di kampus

Jadi tidak full online ya kak, tetap ada sesi ke kampus untuk praktik dan ujian 🙏"
 Bu. Kalau mau mint surat keterangan sudah mengikuti Diklat pemutakhiran ke mana ya,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
Ajuan minta surat keterangan updating,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
"izin bertanya mengenai pendaftaran diklat BST terbitan non bp2tl, untuk lampiran surat PKL yang benar itu seperti apa ya?, saya sudah memasukan tapi ditolak","Untuk surat PKL harap diupload seluruh lembarnya, mulai dari lembar awal s/d akhir (tanda tangan seluruh pihak), agar dapat dicek keabsahannya, Terima kasih"
Ingin mencetak surat keterangan lulus UKP menegeman ATT 3,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
Apakah di BP2TL bisa mengambil sertifikat baru CCM?,"Bisa ya untuk pengambilan sertifikat baru CCM tersedia di BP2TL.

Saat ini CCM terdiri dari CMT dan CMHBT, dan pembelajarannya dilaksanakan secara online ya pak.

Terima kasih 🙏"
"Saya mau tanya, ambil Diklat GMDSS bisa sembari on board kah ? Soalnya saya posisinya di kapal Terimakasih untuk direspon","Untuk GMDSS pembelajaran 12 hari Online, 2 hari praktek dan ujian pak"
Dear Helpdesk saya mau menanyakan diklat teknis fungsional Pemeriksaan keselamatan kapal atau surveyor untuk kelaikan petik kemas dimana proses pendaftarannya,Bisa ditanyakan ke wa admin fungional ya +62 811-8813-198 (Bu Lusi)
 ijin menyampaikan sementara sudah di rubah ke diklat pra kesyahbandaran kelas b. mohon arahan selanjutnya,Bisa ditanyakan ke wa admin fungional ya +62 811-8813-198 (Bu Lusi)
" bapak/ibu, mau tnya utk Pembelajaran ANT V nya apakah masih daring online dan apakah masih dapat free STAY DIMESS 1bln menjelang UAD dan UKP ??","Untuk pembelajaran ANT V saat ini masih dilaksanakan secara online/daring ya.
Dan untuk UAD & UKP, masih mendapatkan fasilitas penginapan (mess) ya.
Terima kasih 🙏"
"Yth Admin, Tolong berikan link untuk cek sertifikat online ratingnya. Karena saya coba cek di dephub nggak muncul hanya yang terlihat bst saja. Tolong beritahu caranya agar terlihat untuk sertifikat rating jika sudah online. Terima kasih","Untuk mengecek apakah sertifikat sudah online atau belum, silakan cek melalui website berikut: https://pelaut.dephub.go.id/verifikasi

Langkah pengecekan:

1. Masukkan Nomor Kode Pelaut
2. Masukkan Nomor Sertifikasi
3. Lakukan Validasi TTE
4. Isi Captcha yang tersedia
5. Kemudian klik verifikasi

Jika data sudah muncul, berarti sertifikatnya sudah terdata di sistem ya kak 🙏"
Dan jika fisik ijazah dan endorse sudah terbut apakah ada jasa pengiriman dari instansi min ?,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
"Saya ingin pemutakhiran ANT III Manajemen, untuk pembelajarannya online afau wajib hadirndi kampus ya min ? "," untuk pembelajaran dan ujian updating manajemen adalah online, proses penerbitan ijazah endorse di rentang waktu 1 bulan selesai pembelajaran"
akun saya knapa ya pak/ Bu gak bisa mendaftar,", kendala apa yang dialami oleh bapak? Jika kendala pada saat upload berkas, saran admin : silahkan menggunakan wifi/menggunakan HP lain atau Laptop atau Komputer (hal ini disebabkan karena penyimpanan memori yang mulai penuh) Jika kendala tidak terdapatnya jadwal pembelajaran, hal ini disebakan karena ada pembelajaran yang bentrok Semoga jawaban admin membantu ya pak, Terima kasih sebelumnya"
Surat keterangan diklat gmdss dan ant 3 management,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
Siang min boleh minta surat keterangan sedang diklat? Soalnya dibutuhkan sama kanto ????????,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Terima kasih 😊🙏"
Untuk peningkatan Nautika 4 yg sertifikat belum lengkap seperti gmdss dan radar pilihnya gmdss dan radar yg mana,"bisa daftar GMDSS dan Radar umum pak, nanti lampirkan bukti bayar untuk upload sertifikat tsb."
"Min, saya mau daftar able engine. Saya scrb nya kan kmren baru selesai di bp2tl, tapi belum terbit fisiknya. Nah saya di bagian scrb nya nanti di isi sama apa?","Untuk bagian SCRB, bisa diisi menggunakan kartu peserta SCRB ya kak sebagai pengganti sementara.

Silakan dilampirkan terlebih dahulu saat pendaftaran 🙏"
kalau untuk cadet apakah bisa menggunakan surat rekomendasi atau surat sign on untuk pembaharuan bst?,Untuk cadet bisa menggunakan surat sign on dari kapal ya kak sebagai pengganti untuk pembaharuan BST 🙏
izin pak/bu persyaratan pembaruan bst untuk yang sedang prola apa saja ya,"Untuk persyaratan pembaruan BST bagi yang sedang prala (prola), sebagai berikut:

Buku pelaut
Surat PKL
Sertifikat BST lama

Silakan dilengkapi ya kak 🙏"
 kapan online ini sdh 3 minggu setelah diklat,"Mohon pak, untuk online biasanya 3 minggu - 1 bulan setelah selesai Periode Pembelajaran Diklat. Terimakasih"
